F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
UK,453.87,-99.8,-2147.73,42154.17,0.17,84.98,-12.35,6,Very high,0.12,2.06,-2.04,32.4,195.56,3,0
Rest,-786.39,-88.02,-4087.5,23310.33,1.82,72.7,-6.77,15,High,25.18,3.34,-7.33,39.42,203.1,6,464.28
Europe,162.66,-110.34,-1720.74,5055.03,7.53,8.52,-6.58,9,Very high,0.04,3.68,-3.02,45.93,82.96,4,1272.34
USA,-392.28,-70.56,-3088.89,23071.8,3.54,77.26,-8.17,18,Very high,6.54,5.16,-2.84,58.05,176.28,3,363.98
Rest,-3017.37,-33.94,-3677.4,19461.15,7.95,54,-11.99,9,Very high,0.28,13.78,-8.55,27.75,174.78,2,2184.98
UK,829.53,-135.63,-2535.87,26451.21,11.3,12.6,-5.89,12,Medium,10.42,4.46,0.6,30.51,203.32,2,1609.96
Europe,241.86,-111.92,-2445.69,21998.34,8.28,99.58,-7.5,21,Very high,24.92,5.36,-2.35,37.14,174.14,4,351.24
USA,-1512.99,-90.14,-1617.63,24647.04,6.29,8.12,-11.97,18,Very low,0.3,12.96,-0.81,15.12,216.96,5,2534.16
Europe,-1585.95,-96.44,-3665.13,26057.34,4.27,-34.56,-4.78,12,Low,0.06,25.86,-0.84,21.9,160.76,6,3754.54
Europe,-1025.19,-89.28,-2038.26,17710.17,3.58,142.96,-5,3,Medium,3.9,6.56,-2.33,54.63,223.08,3,133.95
UK,432.39,-114.42,-2441.43,72326.79,0.79,-3.34,-7.79,9,Very low,49.16,11.46,-2.12,19.65,43.5,4,405.89
Europe,1675.53,-102.75,-4689.9,26917.95,1.14,1.3,-8.63,6,Medium,45.52,7.74,2.49,26.64,171.52,5,1409.13
Europe,1521.09,-72.89,-1642.2,25464.99,2.77,123.96,-5.32,15,Medium,16,26.4,-4.88,36.72,275.66,3,99.84
USA,95.64,-95.91,-1960.08,10951.71,1.48,142.22,-6.41,21,Very high,0.06,1.82,-7.63,6.09,153.14,3,0
UK,-568.17,-125.76,-1920.63,19005.42,1.91,104.8,-3.26,18,High,138.22,5.68,0.06,36.78,180.42,4,0
USA,276.66,-115.51,-1036.26,34039.89,2.15,51.82,-8.17,18,Low,0,10.94,-5.23,41.31,234,3,0
Europe,-1611.69,-122.3,-1070.04,23430.72,3.45,28.32,-9.14,18,Very low,10.32,16.88,-3.07,7.89,194.7,0,80.82
USA,-81,-141.11,-1222.86,32293.11,14.42,115.08,-8.05,9,Very low,19.68,6.02,-0.07,27.81,180.28,4,704.46
USA,-1465.89,-100.9,-3191.16,28096.59,3.3,5.74,-4.53,3,Very high,1.42,9.62,-5,6.93,157.7,3,3746.13
Europe,-1650.51,-133.57,-3095.73,34788.06,3.07,10.98,-8.86,27,Very high,1.38,8.12,0.49,35.07,171.82,1,748.62
Europe,196.86,-65.43,-2966.1,21339.03,0.55,82.02,-3.27,9,High,18.28,3.74,-5.81,28.62,227.3,4,34.33
Europe,345.72,-14.26,-3584.34,22876.95,4.87,82.48,-4.72,12,Low,55.06,8.04,-4.61,28.92,77.94,3,444.22
Europe,2.91,-88.93,-1482.36,22750.74,1.54,62.68,-8.11,24,Very low,4.22,1.38,0.62,0.27,136.22,5,0
UK,-1645.62,-43.84,-2321.88,2720.25,6.38,26.28,-3.93,9,Low,0.5,2.58,-3.75,28.53,169.58,4,1742.65
Rest,-1053,-87.21,-2544.75,19610.31,7.04,-0.06,-7.26,3,High,113.86,3.18,-4.9,33.12,119.18,3,1081.64
USA,-1505.91,-78.63,-3468.66,25593.87,11.9,96.4,-8.41,9,Very low,3.18,5.78,-8.84,39.84,338.34,3,3232.66
USA,490.98,-108.92,-3151.74,31068.99,1.21,116.36,-6.52,12,Low,0.16,9.84,-2.1,30.93,283.64,5,0
Rest,-1033.77,-63.44,-3389.46,29569.95,1.39,90.38,-2.18,21,Very high,0.62,2.96,-4.16,23.46,265.32,4,75.34
USA,732.27,-138.57,-1409.88,29602.56,0.93,-33.1,-6.62,9,Medium,1.2,37.24,-0.29,24.27,186.1,6,3785.83
Rest,-1478.61,-72.83,-1790.94,20904.87,4.35,94.14,-7.67,18,High,22.74,4.36,-8.18,23.46,240.36,8,282.37
UK,-1119.39,-98.07,-1660.95,22069.83,6.8,67.22,-7.51,12,Low,2.88,3.6,-0.92,34.77,101.5,5,323.48
UK,-92.43,-78.24,-1755.72,-7501.14,5.46,30.18,-4.13,27,Medium,0.28,6.56,-6.13,34.17,258.58,4,0
USA,-257.7,-107.26,-2728.11,19163.16,3,14.42,-13.28,9,Medium,0.06,7,-5.19,30,108.88,6,2771.1
UK,-812.7,-85.8,-2077.44,42975.03,5.8,29.6,-10.06,6,Low,10.96,14.36,-7.2,31.02,138.62,3,2343.38
Europe,-368.34,-120.19,-2525.67,12672.3,2.04,175.26,-1.06,18,Very low,0,5.9,-5.13,29.1,58.96,2,0
UK,-2288.76,-61.67,-489.42,36091.11,1.62,-37.44,-1.5,15,Medium,8.34,9.44,-6.14,45.42,166.68,3,929.99
Europe,-1248.21,-85.9,-2393.46,-53.7,4.84,183.2,-9.66,15,Very high,6.04,0.74,-4.02,25.74,196.56,1,0
UK,-1478.13,-114.94,-4330.68,26635.86,3.03,156.78,-9.24,21,High,0.42,5.82,-3.85,35.55,128.32,7,1012.83
Europe,-2072.91,-126.06,-3029.16,44651.82,0.8,51.44,-7.77,6,Very low,0.84,6.42,-4.31,39,337.22,3,738.08
USA,-626.64,-125.85,-3267.12,54405.33,8.21,97.46,-8.24,15,High,24.22,10.06,-3.42,27.6,30.44,3,2648.71
Europe,-1511.52,-90.93,-2446.62,7908.03,2.58,89.56,-8.83,9,High,0.08,7.9,-1.01,31.26,230.5,4,900.14
Rest,-1834.62,-128.53,-1936.2,28280.73,1.07,-9.84,-2.43,24,Very low,0.82,6.98,-4.11,41.58,203.48,5,88.09
Europe,2169.21,-84.39,-3524.64,19623.21,0.96,67.68,-12.54,3,Low,18.1,3.6,-3.08,34.29,179,7,180.2
Europe,177.93,-103.13,-3952.41,11401.8,4.96,134.04,-9.38,6,Very low,120.8,17.4,-3.89,10.02,216,4,1184.05
UK,-1057.26,-136.17,-2455.68,24713.79,3.17,180.88,-12.28,9,Low,2.94,6.06,0.34,27.75,202,2,0
UK,794.88,-111.13,-1306.59,22857.93,1.51,38.24,-9.74,15,High,0.24,1.06,-5.78,18.3,370.44,7,0
Rest,-2633.85,-113.6,-3725.97,20996.07,4.32,50.52,-14.07,9,Low,3.18,15.36,-7.48,36.69,240.84,4,1569.48
Rest,-586.47,-94.46,-1623.6,18608.34,5.49,54.58,-6.57,12,Medium,45.1,9.22,-4.07,22.2,436.34,3,236.97
Europe,-219.03,-63.95,-1011.93,26709.69,1.61,152.24,-4.86,15,High,28.2,9.24,-2.28,23.97,191.3,2,0
Rest,1248.6,-82.8,-388.23,23734.2,1.41,90.62,-3.86,12,Very low,1.64,6.88,-1.5,20.1,161.08,5,0
UK,881.07,-91.13,-2881.95,13692.51,6.21,86.68,-6.08,21,Low,0,12.74,-7.64,3.81,221.1,3,0
Europe,-1944.69,-90.92,-1309.32,-2800.62,0.75,36.92,-1.78,12,Low,3.68,2.14,-7.45,11.85,194.12,3,0
UK,-1573.47,-102.25,-2414.25,20087.07,0.69,100.6,-6.18,30,Very high,4.88,8.48,-3.98,23.55,177.66,4,0
USA,1273.2,-61.17,-1704,29623.86,4.32,-23.76,-8.57,12,Low,4.12,3.5,-6.71,37.62,248.98,2,0
Rest,1425.15,-36.93,-2819.43,18705.18,2.65,120.18,-7.67,6,Medium,2.28,14.64,-3.74,62.85,142.1,5,216.64
Europe,720.96,-50.13,-4620.99,30204.18,7.81,167.46,-8.64,15,High,0.28,10.24,-3.29,31.92,142.94,4,959.7
Europe,-2060.76,-98.32,-1854.33,22197.45,9.33,28.7,-6.19,21,Very high,0.86,3.34,-7.31,40.89,178.3,6,1704.17
UK,-1529.55,-117.6,-3172.11,15419.49,2.43,75.12,-6.47,15,Very low,11.52,10.86,-1.05,31.05,127.1,1,0
Europe,-1244.85,-84.18,-2003.55,32059.53,1.95,61.4,-6.82,9,Very high,259.44,3.88,-3.43,43.17,139.06,6,901.44
Europe,-366.21,-67.62,-2084.16,19574.4,5.6,-3.64,-0.74,21,High,0.08,21.86,-1.2,13.86,348.3,4,1988.69
UK,-478.83,-170.78,-1965.39,54278.28,0.81,89.96,-6.72,9,Medium,6.56,9.72,-4.67,40.26,61.44,7,385.39
Europe,217.83,-116.01,-4770.36,35801.37,3.03,85.6,-13.62,6,Very low,0.02,18.22,-6.67,37.74,190.22,0,1204.66
USA,-2835.36,-77.25,-1954.05,28097.31,0.5,104.72,-4.08,9,Low,0.78,2.22,-2.75,28.53,175.96,4,0
Rest,-802.41,-73.92,-671.67,26365.83,8.02,18.8,-7,15,High,0.02,2.9,-8.29,24.39,226.6,3,199.29
USA,321.36,-109.27,-2940.27,27935.16,0.77,127.08,-7,15,High,0.36,8.42,0.14,38.7,180.3,3,0
USA,24.9,-99.39,-2158.26,7555.83,2.72,13.96,-4.84,12,Very low,12.36,5.02,-8.72,16.98,138.2,4,10.82
Europe,-1254.96,-75.01,-1275.78,22276.5,2.55,63.68,-6.52,3,Medium,41.42,4.08,-5.14,16.89,266.5,1,0
UK,-1560.99,-130.38,-2618.82,24958.17,4.57,54.68,-8.33,9,High,5.84,3.26,-3.3,26.52,241.34,5,2006.39
Rest,-4.41,-83.4,-974.37,14146.11,1.35,173.22,-7.54,9,Very high,131.48,6.52,-6.82,11.16,208.34,0,0
UK,-662.19,-132.01,-2568.84,30536.55,3.59,-19.16,-7.83,9,High,6.98,4.04,-2.67,29.88,-29.62,5,2334.96
USA,-703.89,-77,-3232.2,75968.49,3.21,30.6,-4.19,9,Low,576.28,2.02,-2.09,27.6,166.04,7,2148.72
USA,-1886.76,-84.83,-3463.23,25678.29,0.79,85,-3.84,9,Low,0.02,5.5,-2.3,30.3,166.08,1,223.23
Europe,-204.6,-43.41,-297.51,22190.4,10.14,239.82,-4.28,3,Medium,0.18,6.04,-2.7,28.17,-53.52,5,0
USA,-589.44,-97.91,-1323.36,11925.03,1.74,150.98,-6.31,6,Low,0,1.24,-2.67,42.3,171.32,2,0
Europe,-62.88,-120.37,-2708.64,23476.98,0.86,61.82,-4.42,12,Low,0.08,8.68,-3.72,26.16,179.84,5,255.35
Europe,-1372.11,-125.5,-2324.94,29443.38,0.18,31.04,-4.12,12,High,0.4,13.18,-1.41,27.66,223.3,6,1495.24
UK,-362.52,-67.93,-3761.64,33300.39,4.85,94.52,-6.32,12,Medium,0.04,6.54,-5.33,40.92,128.2,9,2399.79
UK,-219.33,-92.12,-2826.54,22550.88,2.97,-6.24,-6.49,18,Medium,41.48,7.4,-0.93,32.4,50.84,5,1310
USA,-292.95,-83.36,-3538.56,33193.56,4.85,11.48,-8.68,18,Very low,88.94,1.64,-7.06,28.2,182.08,4,374.84
Rest,-891.6,-73.95,-2557.14,33866.76,5.57,155.44,-4.31,3,Medium,0.32,21.6,-0.55,42.6,226.74,6,1186.26
Europe,-67.29,-84.76,-2157.72,52525.14,3.76,50.46,-1.81,12,Very high,139.6,3.38,-5.34,34.92,151.04,2,172.52
Europe,-412.5,-98.17,-2392.89,23561.79,3.04,74.06,-7.93,15,High,6.72,0.3,0.46,45.21,320.18,2,0
UK,-373.86,-89.11,-2626.38,42571.98,2.98,146.48,-5.55,9,Low,288.16,15.32,1.15,-0.33,96.64,3,0
UK,-1992.54,-103.33,-3720.78,27200.34,6.09,110.78,-4.98,15,Medium,0.36,13.68,-3.63,30.99,180.78,6,2733.96
UK,2364.48,-94.4,-1372.38,22603.74,2.81,77.76,-5.83,9,Very low,16.86,13.42,0.54,3.63,37.32,4,0
USA,204.09,-134.59,-3694.89,38294.67,1.69,128.5,-6.46,12,Very high,7.34,3.14,-6.53,28.11,51.42,3,0
USA,-1025.85,-119.07,-1054.86,-16949.79,7.86,-14.82,-3.86,15,Medium,1235.18,6.34,-4.37,19.05,182.12,2,1248.21
UK,-2470.23,-210.78,-3032.82,-2801.67,4.51,99.64,-6.76,3,Medium,0.04,4.78,-11.14,30.84,189,5,2433.17
UK,-1118.58,-24.18,-1502.55,23985.12,1.96,90.36,-8.37,12,Medium,0,6.32,-4.37,32.34,127.68,6,0
USA,-1397.55,-122.42,-3458.19,15141.87,0.61,-6.98,-10.92,12,Very high,2.4,16.22,-6.2,35.67,185.18,3,3721.75
USA,-170.34,-68.8,-1258.86,20840.58,3.65,37.14,-8.31,15,Medium,0.12,9.12,-4.41,28.23,130.58,2,0
Rest,-1053.75,-96.22,-748.68,37980.36,3.71,92.42,-5.24,15,High,1.04,13.66,-5.18,15.12,250.94,3,83.31
Rest,121.86,-65.18,-1716.84,38855.1,2.99,94.02,-3.15,15,High,4.22,25.04,-4.55,18.87,163.1,3,439.15
Europe,77.46,-61.76,-2842.32,44114.13,5.69,175.36,-8.53,6,Medium,0.14,10.48,-3.87,27.54,183.64,2,134.41
UK,-759.24,-94.88,-1646.13,25914.84,1.17,35.76,-6.93,15,High,0.68,6.3,-2.34,32.49,176.24,7,591.06
UK,-1276.62,-97.25,-2713.14,7537.11,3.19,137.8,-4.61,12,Very high,82.2,3.42,-5.98,26.22,233.54,4,0
Rest,1794.36,-104.19,-448.89,395.85,4.77,123.04,-6.78,18,Medium,1.24,3.38,-1.92,34.08,249.1,3,0
USA,-1405.38,-95.85,-2213.22,28946.49,1.47,74.9,-2.65,6,Medium,2.52,10.94,1.24,26.61,239.36,4,1636.57
Rest,-1891.05,-78.22,-1217.91,23281.32,1.26,112.98,-9.86,3,Very high,5.9,3.76,0.98,16.41,166.6,4,139.45
UK,-570.51,-107.99,-2812.14,26193.6,3.09,151.74,-11.47,9,Medium,1.6,23.04,-3.2,-53.22,222.38,3,1650.33
USA,1435.77,-130.66,-2289.96,20270.7,6.99,109.12,-7.04,21,Very high,879.04,7.44,-2.88,43.05,178.08,4,0
Europe,-1962.75,-109.11,-2302.26,39817.44,10.39,66.62,-11.33,15,Very high,0.76,6.98,-1.93,29.19,230.28,7,2389.1
UK,-1845.96,-138.77,-2556.06,47565.12,2.24,65.26,-6.19,12,Very low,1150.54,10.78,-6.18,27.87,246.38,1,0
UK,5.55,-78.45,-2162.28,30358.89,5.72,44.12,-6.4,12,Very high,1.3,1.36,-3.14,38.37,392.92,3,307.93
USA,-1447.86,-117.52,-3188.13,46427.64,6.52,-6.64,-1.14,21,Very high,0.5,20.52,-2.69,29.85,212.78,4,3789.63
USA,-1047.6,-67.61,-1436.1,23199.69,2.95,100.52,-7.32,12,Very high,19.14,20.8,-2.64,22.26,177.62,2,1783.97
Rest,-1356.24,-68.12,-3723.66,20524.38,5.5,33.06,-6.86,24,Very low,0.16,15,-3.22,12.09,184.88,3,659.43
USA,-1141.29,-131.31,-2811.84,28543.56,1.09,8.42,-4.41,15,Very low,7.44,1.78,-3.4,-0.57,191.06,3,0
USA,-178.08,-122.49,-4364.91,-9790.83,3.06,21.62,-9.43,9,Medium,26.1,3.86,-3.14,37.38,91.06,4,2808.51
Europe,-95.22,-102.82,-1458.63,31222.35,2.79,80,-5.29,9,High,0.92,5.36,2.16,23.88,166.56,4,0
Rest,-603.51,-75.89,-2050.74,25265.58,5.9,110.7,-4.47,12,Very high,3.7,15.14,-3.58,27.63,187.18,6,831.34
USA,600.84,-72.85,-2118.99,5081.73,3.74,36.4,-3.31,12,Low,2.92,1.98,-4.12,37.83,179.72,3,0
Rest,401.76,-112.49,-3508.38,10132.08,2.02,-22.14,-12.31,3,Very high,14.72,8.58,-2.46,19.65,216.94,8,1722.09
Rest,-1570.35,-96.61,-928.14,19588.47,2.26,81.82,-7.05,15,Very high,0,2.3,-0.2,25.59,128.14,3,0
UK,-67.65,-96.41,-1874.22,35025.87,4.65,29.08,-8.54,24,Low,3.74,7.94,-1.73,43.8,125.08,2,0
Rest,-1597.65,-68.4,-2889.27,31183.35,1.33,145.06,-7.64,18,Very low,805.54,6.14,-1.72,18.93,-185.16,5,0
USA,-967.62,-103.46,-1748.52,18743.88,3.01,52.48,-11.54,6,Very high,1.34,5.26,-3.06,51.48,34.1,5,2069.82
USA,55.59,-99.32,-639.54,17738.25,3.5,-74.32,-8.52,15,High,0.14,1.66,-4.68,55.17,161.14,5,647.83
Rest,-1180.5,-69.58,-2045.28,44109.03,4.71,83.86,-6.64,9,Low,1.22,6.08,-4.86,20.61,159.9,2,80.5
UK,-1968.36,-44.31,-3027.54,22716.45,3.96,-6.34,-7.2,3,Low,0.12,3.04,-2.43,42.54,-48.1,2,2336.02
Rest,1263.72,-113.84,-2507.97,23427.42,1.33,156.12,-5.71,9,Medium,7.08,1.4,-2.63,33.33,172.6,5,0
UK,-2460.3,-90.25,-3263.1,9827.61,3.95,146.82,-9.55,15,Medium,52.16,6.68,-3.51,27.6,165.58,5,908.9
Rest,-733.5,-86.08,-2709.6,21375.54,3.3,20.7,-4.47,6,Medium,10.56,9.58,-8.69,46.89,117.86,2,609.84
Rest,-965.73,-108.63,-2545.56,33224.1,5.31,131.34,-8.68,12,Very low,0.96,6.66,-3.63,29.85,148.86,7,177.87
USA,-1509.42,-113.87,-2069.61,22613.28,4.65,18.92,-3.99,12,Very low,0.02,15.5,-2.37,53.13,166.76,3,2795.55
Rest,-739.17,-109.07,-2437.56,37080.93,2.45,5.96,-10.34,15,Medium,2.04,12.26,-1.43,22.47,164.58,4,575.19
Europe,-1076.88,-124.9,-2567.79,31137.66,4.88,92.72,-5.77,9,Low,5.46,13.76,-0.74,50.07,296.96,4,1131.99
USA,170.19,-105.88,-1711.14,18888.39,1.52,36.42,-4.32,18,Very low,0.02,15.32,0.64,27.75,220.6,6,196.6
Rest,-1408.83,-86.25,-2598.18,18768.33,4.38,98.32,-4.41,18,Very high,3.66,12.32,-1.79,41.55,73.38,3,465.01
USA,-2083.14,-40.27,-2516.49,21731.94,1.59,-6.52,-10.11,21,High,0.1,7.84,-4.28,23.85,250.52,4,2306.95
USA,-966.81,-137.01,-3548.7,23980.92,6.27,-7.62,-3.41,12,Low,0.98,19.76,-1.94,14.85,194.4,1,3739.21
Rest,464.22,-100.33,-753.69,26365.77,4.34,16.46,-8.28,12,Medium,5.76,8.48,-5.59,35.04,229.5,6,184.2
USA,-960.63,-132.39,-2788.05,20605.47,0.55,164.52,-14.72,12,Low,2.32,11.54,-11.08,28.8,118.86,4,0
Rest,-1741.59,-99.18,-3325.65,18926.49,7.35,161.52,-7.29,21,Very low,14.2,6.06,-5.39,20.97,207,4,27.18
UK,-149.34,-43.65,-2276.7,36564.6,2.13,176,-1.94,12,High,84.42,3.72,2.79,26.1,41.24,4,0
Europe,234.21,-136.25,-2740.86,21955.17,8.46,67.84,-8.99,12,Low,0.1,9.58,-2.67,21.18,182.12,4,1027.79
Europe,86.73,-87.17,-2883.54,24632.94,4.32,79.8,-0.91,12,High,1.24,8.5,-5.54,25.8,167.3,3,614.88
Europe,55.8,-67.58,-2245.95,31199.28,6.14,37.94,-9.06,12,Very low,1.7,2.62,-6.9,25.8,171.62,2,0
Rest,-329.31,-93.48,-3473.91,13104.36,1.55,74.86,-12.9,18,Very low,0.32,13.68,-2.96,29.7,61.22,6,289.61
Europe,240.15,-38.21,-2812.38,25114.86,2.45,91.06,-5.05,18,High,238.9,3.96,-2.07,32.19,348.2,2,0
Rest,-782.76,-90.44,-1790.7,29523.06,2.65,134.98,-5.34,9,Very high,4.38,1,-7.04,26.82,212.5,9,173.96
Europe,858.54,-122.33,-2883.36,15070.02,4.83,63.08,-6.06,12,Very low,0.66,5.14,3.32,34.35,176.54,3,0
USA,-1462.14,-105.52,-1767.15,23160.51,3.5,117.46,-8.12,15,High,140.1,7.66,-5.13,9.84,174.56,4,87.17
UK,-914.1,-123.86,-1617.09,4403.88,1.96,48.72,-1.43,3,Very low,19.9,4.28,-7.37,27.72,147.08,5,0
UK,-293.88,-80.92,-2702.73,27783.93,3.54,12.64,-8.9,6,Very high,1.26,14.06,-2.45,33.24,278.26,5,2834.49
UK,205.74,-81.99,-2528.22,21552.27,1.18,168.7,-9.53,9,Medium,4.52,6.82,-6.94,35.37,77.74,4,0
Rest,-1038.3,-42.71,-1737.6,27400.32,0.3,39.94,-10.78,12,Very low,8.5,20.12,-1.93,-5.94,175.24,4,359.73
UK,-1619.28,-89.91,-2552.67,30147.66,5.74,20.06,-11.76,9,Very high,1.12,11.54,-7.94,28.74,256.62,3,2817.77
Europe,-1371.51,-106.99,-3552.3,1132.44,6.61,21.34,-10.27,9,Very high,0.12,5.92,-5,11.4,160.94,6,2686.19
Europe,-957.03,-70.9,-3786.48,44207.1,9.7,142.94,-4.56,21,Low,106.74,11.26,-3.13,35.88,263.94,2,683.84
UK,-1090.44,-80.27,-2101.71,36282.45,5.37,62.76,-8.42,9,Medium,99.18,7.14,-3.06,17.13,253.4,4,1327.09
Europe,-1161.84,-123.93,-2712.87,15619.5,2.6,43.2,-10.74,18,Low,0.24,7.5,-7.33,27.51,98.84,3,289.89
UK,-775.59,-156.65,-3273.72,17790.51,2.4,93.24,-7.33,15,Medium,449.28,5.4,-4.26,22.26,261.1,2,0
Rest,-1488.72,-109.57,-1820.19,26209.38,8.98,123.36,-4.86,21,Medium,0,13.16,-0.16,28.92,263.58,4,375.16
Rest,172.11,-107.45,-656.25,2157.93,5.53,17.6,-5.69,6,Very high,2719.58,4.9,-5.53,38.34,-13.2,6,464.44
Rest,-809.25,-134.23,-391.5,2046.9,4.58,57.96,-10.43,18,High,1.18,6.2,-1.39,29.76,160.26,5,0
USA,-1851.75,-31.09,-1610.25,-3353.07,10,68.72,-13.41,9,Very low,3.86,1.82,-1.33,27.39,200.34,4,1226.5
Europe,-465.54,-124.24,-4222.89,13575.96,4.6,5.84,-6.97,18,Very high,0.36,9.38,-0.01,19.26,147.16,3,1910.08
Rest,-1204.32,-134.47,-3058.92,33081.78,1.14,-6.44,-1.96,12,Low,0.44,4.32,-8.38,17.01,134.9,2,261.65
UK,-350.19,-138.35,-3413.43,40055.01,1,46.26,-0.93,15,Low,8.32,17.72,-0.25,27.42,190.4,5,1947.33
USA,-525.72,-84.39,-2736.81,-830.52,3.31,125.68,-4.75,0,Very low,2.18,5.44,-4.11,5.85,88.46,5,338.93
Rest,-726.48,-76.81,-2279.31,39248.01,6.48,-15.18,-9.48,9,Very high,0.02,7.4,1.63,37.14,202.66,2,1043.89
Europe,-529.35,-149.46,-2828.79,32276.79,3.29,6.08,-10.18,18,High,19.76,4.34,-1.46,38.61,234.46,2,487.25
UK,-1343.91,-129.36,-3031.2,28516.26,7.25,-32.7,-5.14,18,High,0.02,20.2,-3.2,22.32,120.88,3,2959.77
USA,-313.59,-112.11,-2290.17,24056.43,0.91,-49.92,-9.12,18,Very low,0.28,15.18,-6.31,12.96,156.22,4,1692.4
UK,-646.5,-123.51,-2091.96,28435.98,4.78,36.6,-5.73,6,Very high,40.12,3.76,-6.87,30.15,176.4,7,2420.98
UK,-1434.75,-110.48,-3263.76,44427.12,4.62,68.28,-2.27,12,Medium,2.96,14.78,-5,24.72,190.84,3,2452.13
Rest,-3317.58,-112.11,-1815.36,-7315.29,2.34,72.8,-14.24,15,Medium,6.4,3.2,-2.78,49.14,85.82,5,266.29
UK,-334.53,-72.1,-891,22043.46,3.08,25.76,-7.56,3,Medium,0,27.36,-6.25,27.27,134,3,2689.26
Rest,-889.5,-70.1,-2679.6,47949.42,6.71,26.34,-6.57,12,Low,833.78,20.2,-12.81,25.59,266.98,3,1222.75
USA,-2174.22,-134.56,-1569.18,28237.83,6.92,107.42,-9.76,3,High,157.32,9.54,-2.65,17.91,208.34,9,3712.44
Europe,-1668.12,-124.01,-3028.53,10928.34,0.62,68.58,-9.67,6,Very high,0,11.96,-5.73,26.79,180.14,3,1605.31
Europe,-1920.54,-90.88,-4936.11,30319.65,2.48,-9.18,-8.03,12,Low,0.84,4.94,-5.44,19.44,54.1,6,2350.35
UK,171.81,-143.87,-2636.4,21101.43,4.39,56.76,-8.66,15,Very high,5.66,2,0.55,16.14,147.3,5,376.83
USA,-1439.49,-70.08,-2868.72,30315.06,3.96,-43.24,-2.96,12,Very high,0.3,7.36,-2.64,30.96,166.16,3,3684.1
UK,196.08,-110.1,-2821.59,21278.94,1.96,122.72,-7.11,21,High,0.6,9.72,0.34,26.55,234.54,5,0
UK,-1042.71,-131.89,-1953.21,18275.01,6.48,27.44,-4.32,12,High,9.74,13.14,-5.07,17.64,182.82,3,2438.09
Rest,-641.52,-75.98,-684.21,11411.85,1.29,82.78,-5.68,6,Very high,95.16,4.34,0.71,35.31,129.26,2,0
USA,-462.57,-92.21,-3178.17,23807.04,5.79,-5,-8.99,6,Very high,6.5,9.3,-2.86,45.99,78.82,3,3729.17
Rest,-1693.23,-61.23,-2739,34043.4,1.88,22.76,-8.14,18,High,0.5,9.94,-9.76,28.41,244.58,5,707.73
UK,-1726.86,-86.21,-3041.37,20513.46,9.71,8.28,-4.79,9,High,1.18,15.38,-2.79,25.53,166.46,4,2978.27
Rest,-1077.12,-81.23,-1606.71,38248.11,9.44,73.82,-7.34,15,Low,0.02,11.02,-3.1,25.74,306.38,5,583.67
UK,-2278.32,-93.14,-2345.34,28066.98,4.6,22.3,-6.09,9,High,49.26,12.22,-4.74,34.26,139.8,7,2910.86
Rest,-2488.02,-84.27,-899.52,28212.15,5.38,57.46,-9.55,12,Very high,2.22,4.14,-6.51,44.79,240.2,4,447.14
Rest,-673.95,-60.4,-2009.01,25890.93,1.23,43.76,-5.22,9,High,3.82,4.06,-4.81,36.36,367.66,5,222.73
