F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
18.2,-2.28,-80.64,-11.76,12.89,20,-4.86,-39.01,-7.22,370.72,-1.52,90,6.95,17.79,6.55,False
1.7,-4.16,-41.64,-18.75,8.41,2,5.8,-72.01,-11.18,30.72,-0.12,75,0.5,38.64,,False
3.42,-4.84,-41.64,-20.73,8.64,2,0.82,-58.01,-12.58,40.72,-0.82,24,0.54,26.61,8.65,True
3.46,-3.89,-47.64,-19.56,7.97,2,3.8,-77.01,-10.34,64.72,-0.57,24,0.81,27.48,,True
0.44,-5.18,-41.64,-19.44,8.65,2,0.28,-71.01,-11.78,-5.28,1.07,75,0.92,26.31,8.72,True
24.9,0.24,-50.64,-8.61,13.29,20,0.24,-44.01,-7.14,170.72,-4.9,150,8.1,20.07,5.73,False
3.04,-3.98,-41.64,-21.03,8.31,2,3.86,-74.01,-10.86,24.72,0.41,12,0.13,30.93,,False
18.9,-0.7,-80.64,-2.07,15.99,20,-8.2,-34.01,-11.08,280.72,-4.29,825,9.2,13.71,8.54,True
12.9,0.99,-80.64,-8.64,16.79,20,-8.42,-19.01,-11.48,30.72,-4.52,840,6.7,10.68,,True
11.9,-3.75,-80.64,-3.93,13.69,20,-5.64,25.99,-12.16,30.72,-5.28,495,7.7,11.88,,False
1.22,-4.29,-47.64,-20.55,7.89,2,7.8,-82.01,-15.06,26.72,-0.27,57,0.86,29.67,7.6,False
2.22,-3.78,-47.64,-24.96,8.37,2,4.54,-75.01,-10.68,34.72,0.35,30,0.59,26.91,8.42,True
16.1,0.2,-50.64,-12.48,13.79,20,-6.72,-34.01,-9.68,230.72,-2.83,330,7.3,14.88,6.77,False
1.94,-4.97,-35.64,-20.1,8.69,2,1.22,-61.01,-18.06,64.72,-0.4,66,0.37,27.3,,True
16.6,-0.16,-50.64,-5.91,15.24,20,-9.16,-9.01,-12.14,280.72,-4.63,615,10,11.67,8.11,True
1.18,-4.65,-41.64,-24.21,8.06,2,9.58,-88.01,-10.14,-9.28,-0.34,15,0.69,26.25,7.57,False
4.1,-3.8,-35.64,-18.03,8.8,2,1.6,-54.01,-10.18,0.72,-0.88,69,1.08,30.93,7.87,True
1.24,-4.33,-47.64,-19.38,8.87,2,6.44,-85.01,-11.36,6.72,1.66,60,0.14,28.71,8.14,True
17.4,0.47,-50.64,-3.66,16.84,20,-7.12,-54.01,-13.62,220.72,-4.44,1005,6,10.26,6.27,False
13.9,-1.46,-50.64,-19.8,13.44,20,-2.68,-49.01,-10.34,410.72,-3.88,315,7,17.73,6.79,False
1.36,-6.08,-47.64,-19.14,8.05,2,1.92,-83.01,-10.18,4.72,2.07,3,0.52,27.81,,True
27.4,0.02,-80.64,-6.24,13.19,20,-7.12,-34.01,-9.4,170.72,-3.73,885,8.1,13.89,6.34,False
26.1,1.3,-50.64,-2.82,16.09,20,-7.58,15.99,-10.78,380.72,-5.11,915,8.95,12.24,,True
11.9,0.38,-80.64,-8.61,13.99,20,-8.3,-134.01,-9.66,310.72,-4.74,705,9.9,17.31,8.34,True
0,-3.81,-41.64,-19.56,8.2,2,1,-88.01,-10.64,70.72,5.17,24,0.92,26.76,,False
27.3,-1.45,-80.64,-12.36,12.64,20,-3.98,-64.01,-8.66,270.72,-1.78,90,7,16.68,,False
10,0.1,-80.64,-6.12,14.04,20,-3.76,-59.01,-11.32,450.72,-2.35,645,9.1,12.45,,False
2.36,-6.68,-41.64,-19.02,8.36,2,2.78,-84.01,-11.54,26.72,0.2,48,0.37,33.99,6.31,False
2.8,-4.47,-47.64,-21.15,8.82,2,5.62,-73.01,-14.78,66.72,1.19,135,0.33,27.15,,False
20.4,-0.3,-80.64,-7.38,12.89,20,-5.02,-14.01,-12.02,80.72,-4.34,285,6.1,17.31,,False
0.94,-4.73,-47.64,-22.35,8.35,2,11.92,-74.01,-16.8,68.72,1.22,12,0.91,28.02,7.87,False
2.64,-4.3,-41.64,-26.46,8.15,2,6.82,-54.01,-11.32,52.72,-0.31,21,0.52,38.67,7.07,False
19.5,0.16,-80.64,-4.86,15.34,20,-8.84,-139.01,-10.5,50.72,-4.87,1080,5.85,11.31,,True
17.1,0.94,-80.64,-5.43,14.24,20,-8.6,0.99,-9.32,240.72,-2.58,570,10.15,12,8.19,True
2.76,-4.39,-41.64,-25.14,8.41,2,6.54,-52.01,-15.18,60.72,1.88,27,0.92,25.47,,False
2.98,-7.25,-47.64,-21.78,7.96,2,4.96,-72.01,-10.9,24.72,1.23,21,0.46,28.11,,False
0.46,-8.79,-47.64,-17.61,8.87,2,9.82,-86.01,-10.7,16.72,1.61,75,0.42,31.62,,True
1.22,-4.27,-35.64,-18.48,8.78,2,2.74,-55.01,-12.04,2.72,-0.14,39,0.93,28.89,,True
15.1,-0.24,-80.64,-12.42,13.49,20,-7.34,-159.01,-7.28,120.72,-2.65,675,6.65,13.14,,False
1.74,-4.21,-41.64,-19.41,8.48,2,5.66,-68.01,-12.68,54.72,-0.7,129,0.67,32.85,8.89,False
3.98,-3.9,-47.64,-21.57,8.39,2,1.64,-71.01,-9.66,32.72,0.98,72,0.81,25.89,,True
21.1,-0.06,-80.64,-8.46,13.54,20,-2.08,-49.01,-14.4,400.72,-1.55,105,7.6,16.92,7.53,False
1.22,-4.94,-44.64,-21.6,8.72,2,3.96,-69.01,-11.38,2.72,-0.78,42,0.8,25.2,8.88,True
3.54,-5.45,-47.64,-21.51,8.27,2,2.92,-86.01,-9.84,44.72,-0.01,18,0.56,25.98,,True
4.02,-5.55,-41.64,-21.18,7.79,2,2.46,-54.01,-11.74,-1.28,-0.6,24,0.96,28.35,6.75,False
16.4,1.43,-50.64,-4.86,15.04,20,-9.72,-39.01,-10.04,60.72,-3.19,420,10.2,8.91,7.89,True
2.6,-4.56,-47.64,-20.25,7.98,2,4.62,-72.01,-9.7,38.72,0.14,6,0.42,28.23,,False
11.2,1.24,-80.64,-8.67,17.19,20,-8.82,-134.01,-10.36,350.72,-5.73,1125,5.4,10.92,,False
20.7,-3.45,-110.64,-10.59,13.99,20,-5.86,-109.01,-6.88,240.72,-2.62,300,5.75,15.39,7.96,False
3.82,-4.3,-47.64,-21.96,8.42,2,5.22,-72.01,-9.76,76.72,-0.29,39,0.65,28.23,,True
15.1,1.34,-80.64,-8.22,14.34,20,-6.92,-29.01,-8.98,160.72,-5.84,240,10.05,20.13,,True
1.76,-5.18,-47.64,-19.86,8.4,2,9.86,-81.01,-9.68,54.72,1.92,9,0.49,30.12,,True
16.1,0.62,-80.64,-3.66,14.94,20,-9.06,-109.01,-15.14,220.72,-5.44,645,8,16.77,,True
3.04,-4.25,-41.64,-23.04,8.14,2,1.04,-54.01,-9.9,60.72,0.74,12,0.83,27.75,7.95,False
0.8,-4.05,-41.64,-23.52,8.77,2,1.7,-55.01,-12.24,-5.28,-0.36,21,1,24.72,,True
18.2,-1.11,-80.64,-8.82,12.99,20,-4.06,15.99,-12.84,100.72,-2.47,525,5.25,15.93,6.3,False
3.68,-4.34,-41.64,-21.3,8.46,2,1.08,-54.01,-10.02,6.72,-0.75,15,0.59,36.21,,True
1.12,-4.17,-41.64,-28.92,8.74,2,6.36,-82.01,-11.88,12.72,-0.42,129,0.82,25.26,,True
12.1,1.05,-50.64,-6.87,14.74,20,-8.2,-9.01,-12.02,180.72,-5.56,150,10.25,12.45,9.27,True
3.8,-4.29,-41.64,-20.67,8.04,2,2.26,-52.01,-10.74,12.72,-0.24,96,0.69,30.36,,False
10.2,1.99,-50.64,-10.41,16.19,20,-7.56,10.99,-10.94,-19.28,-5.2,390,9.25,11.64,9.39,True
3.9,-4.14,-41.64,-18.33,8.23,2,3.7,-81.01,-11.28,14.72,-0.85,60,0.94,27.42,9.24,True
20.5,-0.82,-80.64,-9.09,13.79,20,-4.92,-134.01,-6.86,270.72,-3.52,270,5.5,19.14,7.15,False
3.36,-6.32,-35.64,-19.44,8.02,2,1.84,-57.01,-10.72,62.72,0.34,12,0.74,32.46,,False
3.32,-4.71,-35.64,-18.33,8.6,2,1.52,-54.01,-14.48,20.72,-0.15,18,0.78,25.86,8.62,True
2,-3.61,-47.64,-19.77,8.14,0,4.46,-78.01,-10.52,-11.28,-0.94,33,0.66,26.43,8.16,True
3.1,-6.05,-35.64,-25.32,8.49,2,1.46,-60.01,-12.14,74.72,-0.94,36,0.98,26.4,,False
2.98,-3.72,-47.64,-23.49,8.74,2,2.94,-71.01,-10.34,70.72,-0.39,90,0.88,25.23,,True
1.82,-5.03,-41.64,-19.11,8.08,2,2.5,-73.01,-12.36,18.72,0.34,18,0.62,26.01,,False
13,-0.42,-110.64,-5.49,13.04,20,-4.66,-144.01,-6.82,170.72,-3.63,375,8.8,12.27,,False
18.6,-0.22,-110.64,-9.81,13.54,20,-7.08,-174.01,-7.08,200.72,-4.97,600,8.25,12.84,,False
2.62,-4.67,-35.64,-17.22,8.86,2,2.7,-59.01,-13,12.72,0.13,183,0.68,25.32,6.66,True
20.3,0.94,-80.64,-3.51,14.54,20,-6.68,-154.01,-10.88,80.72,-5.64,675,7.7,17.19,9.17,True
11.1,1.1,-80.64,-5.55,15.44,20,-9.6,-79.01,-10.58,340.72,-3.76,990,9.7,12.09,,False
23.2,-1.31,-110.64,-12.57,13.09,20,0.3,-144.01,-7.94,400.72,-1.39,435,5.75,22.74,,False
3.2,-4.17,-35.64,-18.33,8.53,2,0.7,-64.01,-10.12,30.72,-0.74,3,0.86,32.28,8.99,True
0.78,-3.65,-41.64,-17.67,8.64,2,2.24,-65.01,-14.28,38.72,0.07,78,0.85,25.71,7.84,True
0.62,-8.61,-41.64,-21.57,8.85,2,0.88,-79.01,-17.26,54.72,0.08,150,0.73,27.24,,True
24.2,-0.23,-80.64,-8.28,12.49,20,1.52,-114.01,-8.08,60.72,-2.36,870,7.95,15.42,,False
22.8,-2.7,-80.64,-7.2,13.14,20,-6.1,-69.01,-11.44,430.72,-1.48,645,8.6,15.96,,False
2.28,-4.15,-38.64,-25.53,8.33,2,1.06,-69.01,-11.34,50.72,1.3,30,0.83,28.83,,False
2.48,-6.53,-35.64,-21.54,8.14,2,4,-60.01,-12.46,4.72,0.27,39,0.71,25.59,,False
2.48,-6.28,-41.64,-26.13,8.48,2,3.9,-79.01,-11.66,26.72,-0.52,156,0.86,26.94,8.95,True
3.56,-5.88,-41.64,-21.3,8.54,2,5.22,-63.01,-10.24,70.72,-0.07,78,0.34,31.05,,False
15.6,-0.58,-80.64,-11.82,14.94,20,-6.6,-149.01,-13.84,350.72,-3.81,1095,5.35,15.57,5.65,False
10.9,-0.27,-80.64,-6.33,13.74,20,-6.7,-159.01,-11.3,160.72,-2.92,300,6.25,13.98,6.96,False
2.72,-4.16,-47.64,-18.93,8.38,2,3.5,-84.01,-9.84,54.72,0.11,144,0.09,29.58,7.22,False
1.52,-3.75,-47.64,-22.44,8.66,2,8.58,-75.01,-17.46,8.72,0.52,120,0.27,31.14,,False
11.1,-3.63,-80.64,-5.49,13.44,20,0.04,-39.01,-9.36,310.72,-4.11,450,8.95,14.49,6.87,False
26.3,0.08,-50.64,-11.58,13.24,20,-5.04,-64.01,-8.32,20.72,-3.13,165,6.85,21.87,6.43,False
4.06,-6.5,-35.64,-20.13,8.78,2,4.06,-65.01,-10.88,46.72,-0.94,39,1,26.34,7.97,True
11.7,-0.55,-80.64,-12.81,13.49,20,0.82,-114.01,-8.34,230.72,-3.46,450,5.25,17.88,,False
1.7,-4.98,-47.64,-21.06,8.08,2,1.34,-88.01,-9.84,18.72,3.02,63,0.63,26.79,,False
14.8,0.58,-50.64,-1.32,17.24,20,-9.18,-29.01,-10.92,30.72,-4.77,795,6.55,8.76,,True
15.5,-0.63,-80.64,-2.76,13.19,10,-8.32,20.99,-12.74,190.72,-4.79,495,9.6,14.04,,True
0.86,-4.38,-41.64,-18.09,8.77,2,4.32,-71.01,-11.62,46.72,-0.76,156,0.85,28.74,,True
14.8,0.06,-50.64,-12.18,16.94,20,-8.06,-59.01,-11.38,210.72,-5.16,690,5.55,11.28,7.82,True
0.6,-7.14,-41.64,-21.66,8.41,2,4.72,-77.01,-12.18,70.72,0.89,27,0.65,25.98,7.06,False
10.5,-1.29,-80.64,-6.42,14.74,20,-5.38,-59.01,-11.74,290.72,-4,1020,5.15,14.76,,False
1.28,-4.4,-35.64,-17.82,8.44,2,1.08,-62.01,-12.28,18.72,0.78,54,0.67,29.04,,True
14.9,1.18,-80.64,-1.98,16.69,20,-7.82,0.99,-12.74,100.72,-6.14,525,6.55,10.65,9.53,True
3.7,-6.23,-47.64,-17.76,8.61,2,4.78,-72.01,-9.84,6.72,-0.19,180,0.52,30.39,,True
1.98,-4.19,-47.64,-18.33,8.57,2,0.98,-73.01,-12.62,64.72,0.73,210,0.69,26.34,9.69,True
3.44,-4.63,-41.64,-24.69,8.07,2,2.2,-89.01,-8.98,72.72,1.94,3,0.31,30.06,7.88,True
1.98,-8.18,-41.64,-19.65,8.48,2,15.08,-55.01,-10.74,20.72,0.08,102,0.66,30.21,9.79,True
23.2,0.86,-80.64,-8.7,14.29,20,-6.86,-9.01,-8.18,260.72,-4.31,525,7.9,12.99,,True
13.3,0.78,-80.64,-7.26,17.04,20,-8.66,-124.01,-9.8,450.72,-4.58,795,5.55,12.96,,True
0.66,-3.97,-41.64,-18.99,8.4,2,3.14,-87.01,-10.06,-3.28,2.11,21,0.83,34.14,8.47,True
4.04,-4.31,-41.64,-19.92,7.96,2,1.12,-60.01,-12.74,10.72,0.68,24,0.68,25.95,,False
0.8,-4,-47.64,-21.63,8.75,2,6.14,-78.01,-11.24,26.72,-0.86,54,0.18,27.87,7.12,False
18.3,0.95,-80.64,-5.7,14.89,20,-8.74,-9.01,-10.54,360.72,-4.86,855,8.75,13.35,6.61,False
17.8,0.7,-80.64,-3.84,14.94,20,-8.2,-54.01,-11.24,90.72,-4.37,345,6.05,14.7,,True
15.5,-0.02,-110.64,-7.47,14.14,20,-7.86,-119.01,-8.74,270.72,-3.74,1005,8.85,11.88,9.67,True
29.5,-0.28,-50.64,-10.62,13.19,20,-6.26,-19.01,-8.94,160.72,-4.18,840,7.3,19.5,7.42,False
2.5,-3.65,-35.64,-20.97,8.63,2,2.58,-68.01,-14.16,-3.28,-1,222,0.94,24.96,7.71,True
22,-0.89,-80.64,-8.28,14.69,20,-7.06,-144.01,-11.78,260.72,-5.21,930,9.3,11.58,8.19,True
19.2,-1.2,-50.64,-9.66,13.54,20,-4.78,-69.01,-8.02,430.72,-3.11,405,8.15,23.64,,False
3.2,-3.93,-41.64,-18.93,8.49,2,4.18,-68.01,-12.1,70.72,-0.23,30,0.67,26.37,8.59,False
2.02,-4.67,-35.64,-17.79,8.48,2,2.76,-53.01,-11.76,-1.28,0.07,72,0.63,27.57,,True
0.22,-3.94,-47.64,-19.38,8.55,2,1.18,-86.01,-11.18,74.72,-0.71,186,0.9,27.24,8.7,True
25.5,-1.24,-80.64,-27.27,14.44,20,-1.26,15.99,-10.78,390.72,-4.62,990,6.3,16.62,6.98,False
13.4,-1.47,-110.64,-4.65,14.59,20,-7.12,-139.01,-14.16,150.72,-5.33,615,6.1,13.08,8.15,True
3.62,-4.26,-41.64,-18.39,8.61,2,3.1,-73.01,-9.62,72.72,-0.74,84,0.86,25.38,8.96,True
3,-4.44,-41.64,-19.17,8.35,2,1.52,-48.01,-10.84,36.72,-0.4,126,0.64,27.51,8.49,True
2.32,-4.8,-47.64,-19.32,8.49,2,5.5,-78.01,-9.52,2.72,-0.78,27,0.48,26.7,8.43,True
13.3,-1.93,-80.64,-10.68,12.74,20,-5.94,-54.01,-10.48,130.72,-4.7,840,7.4,21.9,7.59,False
20.9,-0.12,-110.64,-8.4,14.64,20,-7.02,-84.01,-8.56,120.72,-5.17,840,7.95,17.82,8.93,True
3.64,-4.79,-41.64,-23.22,8.17,2,1.02,-71.01,-9.64,0.72,-0.15,72,0.99,26.55,,True
1.62,-5.18,-47.64,-18.81,8.44,2,2.7,-78.01,-9.86,18.72,-0.28,39,0.47,31.53,8.92,True
3.1,-3.83,-41.64,-18.6,8.42,2,8.44,-67.01,-10.7,72.72,0.25,21,0.32,32.58,7.3,False
22.3,-0.45,-80.64,-24.99,15.69,20,-10.14,20.99,-12.06,-19.28,-4.4,1110,8.25,13.92,8.75,True
3.86,-4.65,-41.64,-20.4,7.91,2,1.18,-88.01,-9.74,38.72,0.98,33,0.88,26.16,7.8,True
1.62,-3.98,-47.64,-22.47,8.4,2,0.98,-85.01,-13.22,2.72,-0.57,81,0.04,30.03,7.47,False
22.1,-2.73,-50.64,-8.43,12.84,20,-4.94,15.99,-11.76,210.72,-4.67,570,8.3,16.23,5.19,False
1.5,-3.95,-38.64,-21.21,8.47,2,1.98,-73.01,-10.44,16.72,-0.16,0,0.42,29.94,,False
19.3,0.48,-50.64,-5.19,16.19,20,-8.88,5.99,-11.08,0.72,-5.56,300,6,23.61,7.68,True
3.68,-5.3,-35.64,-18.9,8.46,2,5.2,-65.01,-11.86,76.72,-0.52,12,0.56,40.5,,False
16,0.9,-80.64,-8.52,16.84,20,-6.8,-54.01,-8.26,420.72,-5.33,420,5.15,19.02,7.37,True
29.3,-0.24,-110.64,-8.85,13.49,20,-1.76,-99.01,-9.36,450.72,-1.66,855,7.95,15.21,7.25,False
0.5,-4.33,-47.64,-21.15,8.78,2,3.28,-75.01,-12.78,-9.28,-0.49,102,0.01,25.32,,True
1.54,-3.73,-41.64,-17.97,8.71,2,3.04,-85.01,-10.58,26.72,-0.29,225,0.67,25.71,,True
0.36,-5.45,-41.64,-25.77,8.2,2,1.46,-70.01,-10.62,-9.28,-0.64,12,1,32.04,8.02,True
2.92,-6.23,-41.64,-25.08,8.34,2,1.32,-79.01,-13.94,62.72,5.18,27,0.61,26.22,7.71,False
2.26,-5.75,-47.64,-31.02,8.17,2,2.24,-89.01,-10.14,2.72,-0.38,12,0.6,26.88,8.15,True
1.74,-4.86,-41.64,-19.26,8.54,2,1.12,-82.01,-9.44,2.72,0.32,18,0.19,25.86,8.48,True
1.32,-4.97,-35.64,-18.78,8.58,2,3.94,-64.01,-11.18,38.72,3.06,9,0.86,33.51,,True
3.16,-4.7,-47.64,-24.66,8.73,2,0.82,-87.01,-10.18,68.72,0.8,198,0.77,32.52,,True
15.9,-0.32,-50.64,-6.57,13.89,20,-2.24,10.99,-10.62,170.72,-4.97,360,7,13.02,6.9,False
3.06,-5.18,-47.64,-20.58,8.77,2,4.1,-75.01,-10.66,64.72,1.13,45,0.33,26.34,,True
3.44,-4.84,-41.64,-21.75,8.84,2,1.82,-81.01,-11.04,64.72,-0.16,129,0.21,28.26,,False
4.18,-11.22,-47.64,-23.07,8.74,2,0.88,-73.01,-13.12,54.72,-0.77,144,0.52,29.04,8.47,True
11.7,0.49,-80.64,-5.16,13.24,20,-7.04,-59.01,-8.2,120.72,-3.27,255,7.95,12.75,7.06,False
3.94,-5,-41.64,-19.62,8.59,2,2.56,-80.01,-17.06,60.72,0.65,216,0.91,26.34,9.21,True
23.3,-0.45,-50.64,-4.05,14.39,20,-8.18,-19.01,-10.82,150.72,-3.48,525,7.4,11.97,9.06,True
23.5,0.52,-80.64,-5.61,15.84,20,-7.3,-94.01,-7.08,270.72,-3.47,645,5.5,16.53,,True
20.8,0.58,-50.64,-7.2,15.74,20,-5.1,-34.01,-13,160.72,-5.51,585,6.45,16.71,7.97,True
2.7,-3.85,-41.64,-25.74,8.77,2,5.9,-75.01,-10.86,68.72,0.29,63,0.82,37.08,9.51,True
1.08,-4.58,-35.64,-20.82,8.4,2,0.98,-62.01,-11.1,38.72,-0.58,9,0.64,25.5,6.59,False
2.94,-4.22,-41.64,-17.88,8.78,2,7.58,-72.01,-10.22,4.72,-0.46,6,0.24,25.41,8.89,True
11.5,-0.37,-80.64,-9.69,13.59,20,-2.94,0.99,-11.3,320.72,0.55,900,6.6,16.56,7.1,False
29.2,-1.54,-35.64,-9.24,14.29,20,-6.68,-59.01,-7.54,250.72,-2.73,15,5.65,20.67,7,False
14.9,-2.88,-80.64,-18.93,12.69,20,-3.62,-139.01,-7.3,370.72,-3.68,495,7.1,20.22,6.09,False
12.4,0.3,-110.64,-4.8,14.44,20,-2.36,-99.01,-9.34,140.72,-5.17,165,6.65,12.27,,False
19.5,-0.28,-110.64,-14.58,13.79,20,-4.34,-154.01,-10.84,260.72,-2.79,30,5.55,15.42,,False
2.7,-3.72,-41.64,-31.14,8.38,2,2.76,-82.01,-10.54,20.72,2.51,63,0.94,27.63,,True
26.2,1.25,-80.64,-3,16.44,20,-7.16,-19.01,-13.42,390.72,-5.48,1080,7.1,12.81,,True
27.8,0.58,-80.64,-12.87,14.19,20,-5.98,-109.01,-10.26,70.72,-3.73,1050,5.75,13.26,,False
4.08,-3.34,-35.64,-19.53,8.79,0,2.26,-58.01,-10.56,20.72,-0.31,60,0.79,25.74,,True
12.2,1.32,-80.64,-5.43,16.04,20,-8.02,-9.01,-10.58,270.72,-3.97,405,7.45,13.32,7.68,True
3.38,-7.63,-41.64,-21.99,8.28,2,0.9,-85.01,-13.94,-15.28,-0.05,210,0.79,32.79,,True
21.6,-1.77,-50.64,-7.56,14.69,20,-8.04,20.99,-10.3,170.72,-5.31,195,6.2,12.42,8.64,False
0.72,-5.68,-47.64,-24.51,8.46,2,4.56,-84.01,-13.14,2.72,-0.9,45,0.59,32.79,,True
4.18,-3.89,-41.64,-19.98,8.04,2,8.48,-66.01,-13.86,-1.28,1.34,21,0.54,26.37,,False
3.28,-9.59,-47.64,-19.38,8.22,2,2.54,-85.01,-12.76,-1.28,-0.3,75,0.53,29.82,8.88,True
16.4,0.42,-50.64,-6.51,13.24,20,1.06,-29.01,-13.84,280.72,-4.29,570,9.4,22.14,6.29,False
25.6,-2.74,-50.64,-5.88,13.89,20,-2.1,-39.01,-12.02,30.72,-4.91,255,5.05,17.58,6.58,False
17.7,-0.75,-80.64,-4.89,16.89,20,-9.4,-24.01,-13.54,150.72,-5.56,1020,7.05,9.39,8.52,True
17.8,-0.72,-50.64,-3.33,14.49,20,-8.24,5.99,-12.32,30.72,-3.86,1155,8.65,11.04,,False
0.3,-7.19,-35.64,-19.23,8.54,2,1.24,-68.01,-17.26,26.72,-0.88,78,0.87,30.93,8.16,True
15,0.14,-80.64,-4.92,14.19,20,-6.36,-149.01,-8.16,120.72,-5.17,900,7.75,18.9,8.3,True
22.6,-1.81,-80.64,-12.12,13.49,20,0.68,-149.01,-8.36,370.72,-1.94,495,5.1,18.84,5.59,False
3.64,-6.74,-35.64,-23.76,8.04,2,3.22,-54.01,-12.16,36.72,-0.78,3,0.97,28.14,7.08,False
23.9,-1.19,-80.64,-10.47,13.14,20,0.26,30.99,-7.38,330.72,-4.11,105,7,25.62,,False
2.46,-5.67,-47.64,-19.35,8.32,2,5.6,-75.01,-9.86,50.72,-0.7,132,0.39,31.8,,False
3.12,-5.03,-41.64,-24.06,8.31,2,3.6,-51.01,-11.82,70.72,-0.36,93,0.59,34.68,,False
1.14,-3.33,-41.64,-21.42,8.67,2,0.58,-53.01,-11.84,-13.28,-0.82,48,1.03,27.18,,True
29.9,-0.15,-80.64,-3.99,14.89,20,-7.84,-84.01,-8.26,30.72,-4.35,1140,5.7,12.3,9.82,True
3.42,-4.18,-35.64,-18.06,8.81,2,0.72,-56.01,-11.3,24.72,2.13,33,0.49,33.96,8.25,True
10.5,0.43,-50.64,-4.29,15.29,20,-9.52,-24.01,-17.36,90.72,-4.45,555,9.3,13.2,7.65,True
17.6,0.76,-80.64,-5.7,13.99,20,-5.54,-124.01,-8.34,170.72,-4.96,360,8.05,16.89,,True
3.2,-4.41,-47.64,-18.9,7.91,2,8.18,-85.01,-12.74,4.72,2.6,27,0.16,27.48,8.68,True
